郵遞區號,行政區,所在縣市
649,二崙鄉,雲林縣
651,北港鎮,雲林縣
652,水林鄉,雲林縣
653,口湖鄉,雲林縣
654,四湖鄉,雲林縣
655,元長鄉,雲林縣
700,中西區,臺南市
701,東區,臺南市
702,南區,臺南市
704,北區,臺南市
708,安平區,臺南市
709,安南區,臺南市
710,永康區,臺南市
711,歸仁區,臺南市
712,新化區,臺南市
713,左鎮區,臺南市
714,玉井區,臺南市
715,楠西區,臺南市
716,南化區,臺南市
717,仁德區,臺南市
718,關廟區,臺南市
719,龍崎區,臺南市
720,官田區,臺南市
721,麻豆區,臺南市
722,佳里區,臺南市
723,西港區,臺南市
724,七股區,臺南市
725,將軍區,臺南市
726,學甲區,臺南市
727,北門區,臺南市
730,新營區,臺南市
731,後壁區,臺南市
732,白河區,臺南市
733,東山區,臺南市
734,六甲區,臺南市
735,下營區,臺南市
736,柳營區,臺南市
737,鹽水區,臺南市
741,善化區,臺南市
742,大內區,臺南市
743,山上區,臺南市
744,新市區,臺南市
745,安定區,臺南市
800,新興區,高雄市
801,前金區,高雄市
802,苓雅區,高雄市
803,鹽埕區,高雄市
804,鼓山區,高雄市
805,旗津區,高雄市
806,前鎮區,高雄市
807,三民區,高雄市
811,楠梓區,高雄市
812,小港區,高雄市
813,左營區,高雄市
814,仁武區,高雄市
815,大社區,高雄市
817,東沙群島,高雄市
819,南沙群島,高雄市
820,岡山區,高雄市
821,路竹區,高雄市
822,阿蓮區,高雄市
823,田寮區,高雄市
824,燕巢區,高雄市
825,橋頭區,高雄市
826,梓官區,高雄市
827,彌陀區,高雄市
828,永安區,高雄市
829,湖內區,高雄市
830,鳳山區,高雄市
831,大寮區,高雄市
832,林園區,高雄市
833,鳥松區,高雄市
840,大樹區,高雄市
842,旗山區,高雄市
843,美濃區,高雄市
844,六龜區,高雄市
845,內門區,高雄市
846,杉林區,高雄市
847,甲仙區,高雄市
848,桃源區,高雄市
849,那瑪夏區,高雄市
851,茂林區,高雄市
852,茄萣區,高雄市
880,馬公市,澎湖縣
881,西嶼鄉,澎湖縣
882,望安鄉,澎湖縣
883,七美鄉,澎湖縣
884,白沙鄉,澎湖縣
885,湖西鄉,澎湖縣
890,金沙鎮,金門縣
891,金湖鎮,金門縣
892,金寧鄉,金門縣
893,金城鎮,金門縣
894,烈嶼鄉,金門縣
896,烏坵鄉,金門縣
900,屏東市,屏東縣
901,三地門鄉,屏東縣
902,霧臺鄉,屏東縣
903,瑪家鄉,屏東縣
904,九如鄉,屏東縣
905,里港鄉,屏東縣
906,高樹鄉,屏東縣
907,鹽埔鄉,屏東縣
908,長治鄉,屏東縣
909,麟洛鄉,屏東縣
911,竹田鄉,屏東縣
912,內埔鄉,屏東縣
913,萬丹鄉,屏東縣
920,潮州鎮,屏東縣
921,泰武鄉,屏東縣
922,來義鄉,屏東縣
923,萬巒鄉,屏東縣
924,崁頂鄉,屏東縣
925,新埤鄉,屏東縣
926,南州鄉,屏東縣
927,林邊鄉,屏東縣
928,東港鎮,屏東縣
929,琉球鄉,屏東縣
931,佳冬鄉,屏東縣
932,新園鄉,屏東縣
940,枋寮鄉,屏東縣
941,枋山鄉,屏東縣
942,春日鄉,屏東縣
943,獅子鄉,屏東縣
944,車城鄉,屏東縣
945,牡丹鄉,屏東縣
946,恆春鎮,屏東縣
947,滿州鄉,屏東縣
950,臺東市,臺東縣
951,綠島鄉,臺東縣
952,蘭嶼鄉,臺東縣
953,延平鄉,臺東縣
954,卑南鄉,臺東縣
955,鹿野鄉,臺東縣
956,關山鎮,臺東縣
957,海端鄉,臺東縣
958,池上鄉,臺東縣
959,東河鄉,臺東縣
961,成功鎮,臺東縣
962,長濱鄉,臺東縣
963,太麻里鄉,臺東縣
964,金峰鄉,臺東縣
965,大武鄉,臺東縣
966,達仁鄉,臺東縣
970,花蓮市,花蓮縣
971,新城鄉,花蓮縣
972,秀林鄉,花蓮縣
973,吉安鄉,花蓮縣
974,壽豐鄉,花蓮縣
975,鳳林鎮,花蓮縣
976,光復鄉,花蓮縣
977,豐濱鄉,花蓮縣
978,瑞穗鄉,花蓮縣
979,萬榮鄉,花蓮縣
981,玉里鎮,花蓮縣
982,卓溪鄉,花蓮縣
983,富里鄉,花蓮縣
